City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
82,Banda Aceh,ID,77.81,5.5577,95.3222,light rain,OYO 884 Rumoh PMI Hotel
91,Hilo,US,76.24,19.7297,-155.09,overcast clouds,Hilo Hawaiian Hotel
95,Tautira,PF,77.88,-17.7333,-149.15,light rain,Pension Oaoa
99,Souillac,MU,71.98,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
100,Santiago De Las Vegas,CU,78.42,22.97,-82.3869,scattered clouds,Bella Vista Miramar
101,Canchungo,GW,77.13,12.0672,-16.0333,broken clouds,Aparthotel Napalach
105,Mahanoro,MG,72.66,-19.9,48.8,overcast clouds,BUNGALOW MAHAMANINA
107,Florianopolis,BR,72.63,-27.6146,-48.5012,light rain,Hotel Boutique Quinta das Videiras
110,Pepel,SL,77.25,8.5817,-13.0628,light rain,Kingho Railway and Port
112,Sinnamary,GF,79.18,5.3833,-52.95,few clouds,ALETHEIA Appartement Sinnamary
122,Ponta Do Sol,PT,70.0,32.6667,-17.1,overcast clouds,Hotel do Campo
125,Bubaque,GW,83.46,11.2833,-15.8333,broken clouds,"Casa Dora, Bubaque"
128,Lorengau,PG,84.92,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
129,Alice Springs,AU,71.15,-23.7,133.8833,clear sky,Desert Palms Alice Springs
130,Huai Yot,TH,74.82,7.7893,99.6348,light rain,สาม
133,Kidodi,TZ,70.74,-7.6036,37.0044,few clouds,Royal Family Lodge
135,Kouroussa,GN,74.71,10.65,-9.8833,light rain,Hotel Tando Plus
136,Valle Hermoso,MX,80.49,25.6667,-97.8333,scattered clouds,MAQUINARIA Y TRANSPORTE DE CARGA
143,Guadalajara,MX,76.77,20.6667,-103.3333,overcast clouds,Hotel Aranzazú
152,Sorong,ID,81.55,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
153,Bac Lieu,VN,80.46,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
155,Kavaratti,IN,79.41,10.5669,72.642,light rain,Green leaf
156,Cabedelo,BR,79.47,-6.9811,-34.8339,few clouds,Pousada Camboinha
157,Quatre Cocos,MU,71.71,-20.2078,57.7625,broken clouds,Sunrise Attitude Hotel
159,Umm Lajj,SA,77.65,25.0213,37.2685,scattered clouds,Moon light Furnished Units
160,Pemangkat,ID,78.48,1.1667,108.9667,overcast clouds,Hotel Duyung Permai 2
168,Torres,BR,74.82,-29.3353,-49.7269,scattered clouds,Farol Hotel
170,Canavieiras,BR,76.68,-15.675,-38.9472,broken clouds,Bahiadomizil
179,Georgetown,MY,76.95,5.4112,100.3354,moderate rain,Cititel Penang
181,Sao Filipe,CV,75.65,14.8961,-24.4956,broken clouds,Hotel Xaguate
188,Innisfail,AU,83.98,-17.5333,146.0333,overcast clouds,Moondarra Motel
190,Tres Lagoas,BR,77.11,-20.7511,-51.6783,overcast clouds,Druds Express Hotel
191,Lazaro Cardenas,MX,79.47,17.9583,-102.2,overcast clouds,HOTEL QUINTA ANTIGUA
192,Caravelas,BR,76.53,-17.7125,-39.2481,scattered clouds,Pousada dos Navegantes
194,Labuhan,ID,81.16,-6.8844,112.2051,overcast clouds,DoubleFAG
196,Ahuimanu,US,83.91,21.4447,-157.8378,scattered clouds,Paradise Bay Resort
197,Itarema,BR,79.57,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
198,Sur,OM,78.01,22.5667,59.5289,clear sky,Sur Plaza Hotel
201,Vao,NC,74.57,-22.6667,167.4833,scattered clouds,Hotel Kou-Bugny
205,Kupang,ID,84.85,-10.1667,123.5833,broken clouds,Hotel On The Rock by Prasanthi
208,Mogadishu,SO,78.55,2.0371,45.3438,clear sky,Hotel Juba
210,Aden,YE,78.62,12.7794,45.0367,clear sky,Sama Emirate Hotel
213,Sao Miguel,BR,79.57,-5.4667,-35.3667,few clouds,CEJ - Centro Escoteiro da Juventude
215,Mayumba,GA,76.17,-3.432,10.6554,broken clouds,LIKWALE LODGE
219,Mahebourg,MU,71.89,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
228,Luanda,AO,75.2,-8.8368,13.2343,few clouds,EPIC SANA Luanda
232,Bengkulu,ID,75.13,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
234,Tual,ID,83.86,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
235,Nabire,ID,83.59,-3.3667,135.4833,overcast clouds,Hotel Nusantara I
240,Sao Joao Da Barra,BR,78.89,-21.6403,-41.0511,moderate rain,Pousada Porto De Canoas
250,Alberdi,AR,75.22,-32.8899,-60.6906,clear sky,Green House.river
251,Arrecife,ES,76.98,28.963,-13.5477,clear sky,Hotel Lancelot
254,Faanui,PF,78.28,-16.4833,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
256,Mana,GF,79.36,5.6592,-53.7767,scattered clouds,LE SAMANA
258,Olinda,BR,80.33,-8.0089,-34.8553,broken clouds,Flat Quatro Rodas Olinda
259,Grand Gaube,MU,72.0,-20.0064,57.6608,scattered clouds,Veranda Paul et Virginie Hotel & Spa
262,Moerai,PF,70.23,-22.4333,-151.3333,overcast clouds,Le Manotel
263,Waharoa,NZ,72.75,-37.7667,175.7667,few clouds,Matamata Central Motel
265,Kang,BW,70.86,-23.6752,22.7876,few clouds,Kang Ultra Stop
269,Hervey Bay,AU,77.14,-25.2986,152.8535,clear sky,Shelly Bay Resort
272,Puerto Lopez,CO,75.96,4.0845,-72.956,overcast clouds,Resguardo Indigena Maguare
279,Byron Bay,AU,80.71,-28.65,153.6167,clear sky,Backpackers Inn
281,Salalah,OM,73.49,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
282,Mount Isa,AU,78.57,-20.7333,139.5,scattered clouds,ibis Styles Mt Isa Verona
287,Dingle,PH,81.03,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
290,Kuching,MY,78.13,1.55,110.3333,scattered clouds,Hilton Kuching
291,Noumea,NC,84.18,-22.2763,166.4572,clear sky,Hôtel Le Lagon
297,Wajid,SO,72.18,3.8093,43.2471,few clouds,xamdihotelresturant114
298,San Matias,BO,71.8,-16.3667,-58.4,moderate rain,"HOTEL ""SAN JOSE"""
301,Geraldton,AU,73.81,-28.7667,114.6,clear sky,Broadwater Mariner Resort
302,Sibolga,ID,74.82,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
312,Ixtapa,MX,78.03,20.7,-105.2,broken clouds,hotel la terminal
314,Tampilisan,PH,80.74,8.0167,122.6833,overcast clouds,Vital Nature Farm Philippines
324,Waingapu,ID,83.3,-9.6567,120.2641,broken clouds,Pondok Wisata Elim
327,Port Blair,IN,79.97,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
328,Wanning,CN,77.02,18.8003,110.3967,broken clouds,Paradise Hotel
335,Gizo,SB,84.6,-8.103,156.8419,light rain,Imagination Island
347,Bosaso,SO,75.43,11.2842,49.1816,clear sky,Red Sea Hotel
349,Harper,LR,77.04,4.375,-7.7169,light rain,Screensaver
352,Codajas,BR,81.88,-3.8367,-62.0569,overcast clouds,ATLÂNTIC HOTEL
353,Turbat,PK,74.19,26.0023,63.044,clear sky,Mubashar Quarters
357,Tocache,PE,71.44,-8.1842,-76.5125,overcast clouds,Residencial JATER
362,Pitimbu,BR,79.39,-7.4706,-34.8086,few clouds,Reserva do Abiaí
366,Uaua,BR,81.01,-9.8414,-39.4817,overcast clouds,Hotel Uauá
367,Catamarca,AR,78.78,-28.4696,-65.7852,clear sky,Amerian Catamarca Park Hotel
368,Sri Aman,MY,75.25,1.2376,111.4621,overcast clouds,Seri Simanggang Hotel
369,Hambantota,LK,75.78,6.1241,81.1185,overcast clouds,Bungalow 63
370,Tomatlan,MX,76.15,19.9333,-105.25,broken clouds,El Salvial
371,Cap Malheureux,MU,70.47,-19.9842,57.6142,scattered clouds,Pereybere Hotel & Spa
372,San Cristobal,VE,71.78,7.7669,-72.225,scattered clouds,Pirineos
376,Jacqueville,CI,80.28,5.2052,-4.4146,overcast clouds,Hotel Le Martin Pecheur
377,Victoria,HK,75.38,22.2855,114.1577,overcast clouds,Mini Central
379,Hirara,JP,75.06,24.8,125.2833,scattered clouds,Hotel Atoll Emerald Miyakojima
