City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Srednekolymsk,RU,2022-11-09 17:26:52,67.45,153.6833,-10.05,99,100,2.1
93,Butaritari,KI,2022-11-09 17:26:52,3.0707,172.7902,80.76,80,82,13.27
94,Arraial Do Cabo,BR,2022-11-09 17:26:53,-22.9661,-42.0278,78.76,69,40,14.97
95,Qaanaaq,GL,2022-11-09 17:26:53,77.484,-69.3632,-11.58,60,48,7.54
96,Quatre Cocos,MU,2022-11-09 17:26:53,-20.2078,57.7625,73.51,69,67,10.47
97,Junagadh,IN,2022-11-09 17:26:54,21.5167,70.4667,76.35,56,0,1.01
98,Alice Springs,AU,2022-11-09 17:26:54,-23.7,133.8833,69.35,68,91,5.75
99,Bagan,RU,2022-11-09 17:26:54,54.1001,77.6646,27.09,80,99,8.97
100,Barrow,US,2022-11-09 17:26:55,71.2906,-156.7887,30.22,86,0,13.8
101,Samarai,PG,2022-11-09 17:23:13,-10.6167,150.6667,81.39,67,94,14.07
102,Khatanga,RU,2022-11-09 17:26:55,71.9667,102.5,-11.51,100,100,3.15
103,Saldanha,ZA,2022-11-09 17:26:55,-33.0117,17.9442,64.45,73,2,17.38
104,Kavieng,PG,2022-11-09 17:26:56,-2.5744,150.7967,82.35,75,93,4.92
105,Torbay,CA,2022-11-09 17:26:56,47.6666,-52.7314,38.75,70,75,28.77
106,Vardo,NO,2022-11-09 17:26:56,70.3705,31.1107,40.98,75,75,19.57
107,Dingle,PH,2022-11-09 17:26:57,10.9995,122.6711,76.93,91,99,7.25
108,Margate,GB,2022-11-09 17:26:57,51.3813,1.3862,53.31,77,52,1.99
109,Ust-Kuyga,RU,2022-11-09 17:26:57,70.0167,135.6,-6.93,98,98,6.87
110,Amazar,RU,2022-11-09 17:26:58,53.858,120.875,8.04,95,10,1.99
111,Acapulco,MX,2022-11-09 17:26:58,16.8634,-99.8901,84.02,74,0,9.22
112,Mahebourg,MU,2022-11-09 17:26:58,-20.4081,57.7,73.69,78,20,2.3
113,Weinan,CN,2022-11-09 17:26:59,34.5036,109.5089,57.25,77,21,2.3
114,East London,ZA,2022-11-09 17:26:59,-33.0153,27.9116,65.34,59,0,17.27
115,Tasiilaq,GL,2022-11-09 17:26:59,65.6145,-37.6368,32.16,75,99,6.22
116,Norman Wells,CA,2022-11-09 17:27:00,65.282,-126.8329,8.64,85,75,4.61
117,Bethel,US,2022-11-09 17:27:00,41.3712,-73.414,52.36,38,0,5.99
118,Leshukonskoye,RU,2022-11-09 17:27:00,64.8989,45.7622,32.88,97,100,4.79
119,Ligayan,PH,2022-11-09 17:27:01,4.6533,119.4706,82.81,75,100,6.73
120,Talnakh,RU,2022-11-09 17:27:01,69.4865,88.3972,-14.58,100,88,3.49
121,Awjilah,LY,2022-11-09 17:27:01,29.1081,21.2869,69.51,47,8,9.08
122,Bluff,NZ,2022-11-09 17:27:02,-46.6,168.3333,43.95,76,4,2.71
123,Egvekinot,RU,2022-11-09 17:27:02,66.3167,-179.1667,14.54,84,100,5.99
124,Irbil,IQ,2022-11-09 17:27:03,36.1926,44.0106,67.06,28,96,1.9
125,Kaoma,ZM,2022-11-09 17:27:03,-14.7833,24.8,66.76,89,96,4.92
126,Esperance,AU,2022-11-09 17:27:03,-33.8667,121.9,56.25,81,49,7.65
127,San Rafael,AR,2022-11-09 17:26:30,-34.6177,-68.3301,84.2,23,33,14.85
128,Leningradskiy,RU,2022-11-09 17:27:04,69.3833,178.4167,5.61,85,100,7.85
129,Bambous Virieux,MU,2022-11-09 17:27:04,-20.3428,57.7575,73.65,78,20,2.3
130,Wanparti,IN,2022-11-09 17:27:05,16.3667,78.0667,70.9,62,9,7.47
131,Port Hedland,AU,2022-11-09 17:25:52,-20.3167,118.5667,71.65,78,0,10.36
132,Mana,GF,2022-11-09 17:27:05,5.6592,-53.7767,79.99,81,100,7.78
133,Baykit,RU,2022-11-09 17:27:06,61.67,96.37,22.53,90,100,9.78
134,Krasnoselkup,RU,2022-11-09 17:27:06,65.7,82.4667,-15.16,100,11,6.11
135,Sobolevo,RU,2022-11-09 17:27:07,54.4299,31.8996,45.72,89,100,11.34
136,Mar Del Plata,AR,2022-11-09 17:27:07,-38.0023,-57.5575,81.82,75,0,18.99
137,Beira,MZ,2022-11-09 17:27:08,-19.8436,34.8389,78.89,89,75,10.36
138,Vestmannaeyjar,IS,2022-11-09 17:27:08,63.4427,-20.2734,45.59,87,75,18.41
139,Berlevag,NO,2022-11-09 17:27:09,70.8578,29.0864,33.75,80,40,5.75
140,Muros,ES,2022-11-09 17:28:09,42.7762,-9.0603,62.1,91,93,9.15
141,Freeport,US,2022-11-09 17:26:59,40.6576,-73.5832,55.29,49,0,8.05
142,Teknaf,BD,2022-11-09 17:28:10,20.8624,92.3058,71.94,76,18,6.4
143,Jurmala,LV,2022-11-09 17:28:10,56.968,23.7704,50.02,87,40,8.05
144,Masumbwe,TZ,2022-11-09 17:28:11,-3.6333,32.1833,70.88,72,95,8.23
145,Coari,BR,2022-11-09 17:28:11,-4.085,-63.1414,87.17,59,98,5.73
146,Tynda,RU,2022-11-09 17:28:12,55.1667,124.7167,0.07,95,51,4.47
147,Waddan,LY,2022-11-09 17:28:12,29.1614,16.139,69.08,45,0,7.25
148,Chokurdakh,RU,2022-11-09 17:28:13,70.6333,147.9167,-8.21,99,69,8.41
149,Rawson,AR,2022-11-09 17:28:13,-43.3002,-65.1023,74.59,38,79,13.18
150,Pevek,RU,2022-11-09 17:28:13,69.7008,170.3133,-9.15,100,100,3.53
151,Zyryanka,RU,2022-11-09 17:28:14,65.75,150.85,-2.18,96,100,9.31
152,Manuk Mangkaw,PH,2022-11-09 17:28:14,4.8,119.85,82.51,76,100,5.48
